YEAR,OBSERVER,MAG,floods1only,floods2only,floods3only,Floods23only,floods123,floods123W,Beltaos
1826,          ,0,0,0,0,0,0,0,0
1827,hbcfc       ,1,1,0,0,0,1,1,0
1828,hbcfc       ,1,1,0,0,0,1,1,0
1829,          ,0,0,0,0,0,0,0,0
1830,          ,9,,,,0,,,0
1831,          ,0,0,0,0,0,0,0,0
1832,hbcfc       ,0,0,0,0,0,0,0,0
1833,          ,0,0,0,0,0,0,0,0
1834,          ,0,0,0,0,0,0,0,0
1835,"hbcfc, Timoney 2009       ",1,1,0,0,0,1,1,0
1836,hbcfc       ,1,1,0,0,0,1,1,0
1837,          ,0,0,0,0,0,0,0,0
1838,hbcfc       ,2,0,1,0,1,1,1,0
1839,hbcfc       ,2,0,1,0,1,1,1,0
1840,hbcfc       ,2,0,1,0,1,1,1,0
1841,hbcfc       ,1,1,0,0,0,1,1,0
1842,          ,0,0,0,0,0,0,0,0
1843,          ,0,0,0,0,0,0,0,0
1844,          ,0,0,0,0,0,0,0,0
1845,          ,0,0,0,0,0,0,0,0
1846,          ,0,0,0,0,0,0,0,0
1847,          ,0,0,0,0,0,0,0,0
1848,          ,9,,,,0,,,0
1849,          ,0,0,0,0,0,0,0,0
1850,          ,0,0,0,0,0,0,0,0
1851,          ,0,0,0,0,0,0,0,0
1852,hbcfc       ,0,0,0,0,0,0,0,0
1853,          ,0,0,0,0,0,0,0,0
1854,hbcfc       ,0,0,0,0,0,0,0,0
1855,          ,9,,,,0,,,0
1856,          ,0,0,0,0,0,0,0,0
1857,hbcfc       ,2,0,1,0,1,1,1,0
1858,          ,0,0,0,0,0,0,0,0
1859,          ,0,0,0,0,0,0,0,0
1860,          ,0,0,0,0,0,0,0,0
1861,hbcfc       ,0,0,0,0,0,0,0,0
1862,          ,9,,,,0,,,0
1863,          ,9,,,,0,,,0
1864,          ,0,0,0,0,0,0,0,0
1865,          ,0,0,0,0,0,0,0,0
1866,          ,0,0,0,0,0,0,0,0
1867,          ,0,0,0,0,0,0,0,0
1868,          ,0,0,0,0,0,0,0,0
1869,          ,0,0,0,0,0,0,0,0
1870,          ,1,1,0,0,0,1,1,0
1871,          ,0,0,0,0,0,0,1,0
1872,          ,0,0,0,0,0,0,0,0
1873,hbcfc       ,0,0,0,0,0,0,1,0
1874,          ,0,0,0,0,0,0,1,0
1875,          ,0,0,0,0,0,0,0,0
1876,          ,0,0,0,0,0,0,0,0
1877,          ,0,0,0,0,0,0,1,0
1878,          ,0,0,0,0,0,0,0,0
1879,          ,0,0,0,0,0,0,0,0
1880,hbcfc       ,1,1,0,0,0,1,1,0
1881,          ,0,0,0,0,0,0,0,0
1882,hbcfc       ,0,0,0,0,0,0,1,0
1883,          ,0,0,0,0,0,0,0,0
1884,          ,0,0,0,0,0,0,0,0
1885,          ,0,0,0,0,0,0,0,0
1886,          ,0,0,0,0,0,0,1,0
1887,          ,0,0,0,0,0,0,0,0
1888,hbcfc       ,3,0,0,1,1,1,1,0
1889,          ,0,0,0,0,0,0,0,0
1890,          ,0,0,0,0,0,0,0,0
1891,          ,0,0,0,0,0,0,0,0
1892,hbcfc       ,1,1,0,0,0,1,1,0
1893,          ,0,0,0,0,0,0,0,0
1894,          ,0,0,0,0,0,0,0,0
1895,          ,0,0,0,0,0,0,0,0
1896,hbcfc       ,1,1,0,0,0,1,1,0
1897,hbcfc       ,0,0,0,0,0,0,0,0
