Time,PDO_SLP,PDO_SST
Apr1856-Mar1857,-0.14657,-0.11007
Apr1857-Mar1858,-0.10787,-0.10644
Apr1858-Mar1859,-0.12816,-0.10909
Apr1859-Mar1860,-0.15114,-0.13971
Apr1860-Mar1861,-0.12833,-0.14567
Apr1861-Mar1862,-0.09885,-0.15788
Apr1862-Mar1863,-0.0693,-0.14348
Apr1863-Mar1864,-0.04422,-0.10028
Apr1864-Mar1865,-0.01955,-0.0485
Apr1865-Mar1866,-0.00061,0.01132
Apr1866-Mar1867,-0.0095,0.06203
Apr1867-Mar1868,-0.06158,0.04946
Apr1868-Mar1869,-0.055,0.00361
Apr1869-Mar1870,-0.07106,-0.03415
Apr1870-Mar1871,-0.10195,-0.08922
Apr1871-Mar1872,-0.14104,-0.14163
Apr1872-Mar1873,-0.16917,-0.16492
Apr1873-Mar1874,-0.19181,-0.17258
Apr1874-Mar1875,-0.1534,-0.15636
Apr1875-Mar1876,-0.06805,-0.05433
Apr1876-Mar1877,-0.07584,0.00609
Apr1877-Mar1878,-0.03766,0.03043
Apr1878-Mar1879,0.04163,0.06195
Apr1879-Mar1880,-0.00723,0.06995
Apr1880-Mar1881,-0.08486,-0.00799
Apr1881-Mar1882,-0.03114,-0.03309
Apr1882-Mar1883,0.01831,0.00811
Apr1883-Mar1884,-0.00363,0.04356
Apr1884-Mar1885,-0.02643,0.02481
Apr1885-Mar1886,0.03074,0.02213
Apr1886-Mar1887,0.11359,0.06692
Apr1887-Mar1888,0.02004,0.03046
Apr1888-Mar1889,0.00844,-0.0279
Apr1889-Mar1890,0.04482,-0.01016
Apr1890-Mar1891,-0.06234,-0.02922
Apr1891-Mar1892,-0.20978,-0.11878
Apr1892-Mar1893,-0.14505,-0.133
Apr1893-Mar1894,-0.15846,-0.09966
Apr1894-Mar1895,-0.08124,-0.05621
Apr1895-Mar1896,0.0089,-0.00786
Apr1896-Mar1897,0.07903,0.02955
Apr1897-Mar1898,0.15522,0.08331
Apr1898-Mar1899,0.21939,0.11127
Apr1899-Mar1900,0.14826,0.07826
Apr1900-Mar1901,0.22072,0.10648
Apr1901-Mar1902,0.19094,0.10884
Apr1902-Mar1903,0.16745,0.1001
Apr1903-Mar1904,0.16954,0.11234
Apr1904-Mar1905,0.20441,0.10355
Apr1905-Mar1906,0.16325,0.06292
Apr1906-Mar1907,0.13193,0.05269
Apr1907-Mar1908,0.02109,-0.00707
Apr1908-Mar1909,-0.07542,-0.09714
Apr1909-Mar1910,-0.05693,-0.0992
Apr1910-Mar1911,-0.13144,-0.09322
Apr1911-Mar1912,-0.01199,-0.06349
Apr1912-Mar1913,0.09772,0.00517
Apr1913-Mar1914,0.10067,0.05714
Apr1914-Mar1915,0.03711,0.02067
Apr1915-Mar1916,0.06673,-0.00769
Apr1916-Mar1917,0.02616,0.01075
Apr1917-Mar1918,0.00159,0.01413
Apr1918-Mar1919,0.09321,-0.00401
Apr1919-Mar1920,0.08345,0.02482
Apr1920-Mar1921,0.07995,0.02855
Apr1921-Mar1922,0.11913,0.01453
Apr1922-Mar1923,0.06934,-0.03695
Apr1923-Mar1924,0.11177,0.00171
Apr1924-Mar1925,0.16503,0.04408
Apr1925-Mar1926,0.18801,0.06573
Apr1926-Mar1927,0.12789,0.04855
Apr1927-Mar1928,0.18039,0.08228
Apr1928-Mar1929,0.1595,0.10009
Apr1929-Mar1930,0.14522,0.09662
Apr1930-Mar1931,0.14115,0.10077
Apr1931-Mar1932,0.14899,0.08003
Apr1932-Mar1933,0.14527,0.0759
Apr1933-Mar1934,0.08453,0.04132
Apr1934-Mar1935,0.07537,0.0397
Apr1935-Mar1936,0.1198,0.03818
Apr1936-Mar1937,0.13117,0.0557
Apr1937-Mar1938,0.1825,0.07433
Apr1938-Mar1939,0.29751,0.13318
Apr1939-Mar1940,0.37108,0.17516
Apr1940-Mar1941,0.3364,0.16458
Apr1941-Mar1942,0.36965,0.16883
